AID,TimeStamp
aid-b8:27:eb:a8:d8:fb-3,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-2,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-92,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-91,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-3,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-2,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-92,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-91,2021-06-18 15:25:38
aid-b8:27:eb:a8:d8:fb-3,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-2,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-92,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-91,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-3,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-2,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-92,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-91,2021-06-18 15:28:47
aid-b8:27:eb:a8:d8:fb-3,2021-06-18 15:29:51
aid-b8:27:eb:a8:d8:fb-2,2021-06-18 15:30:08
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 13:10:49
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 13:12:48
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 13:13:05
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 13:26:08
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 13:26:35
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 13:37:40
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 13:41:25
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 13:41:40
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 13:43:53
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 13:46:11
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 13:46:19
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 13:46:22
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 13:46:49
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 13:55:20
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 13:55:27
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 13:55:34
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 13:56:36
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 13:56:42
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 13:56:49
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 13:58:12
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 13:58:18
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 13:58:54
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 13:58:59
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 13:58:59
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 13:59:00
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 14:05:35
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 14:05:40
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 14:05:45
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 14:05:51
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 14:06:07
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 14:06:17
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 14:07:17
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 14:07:18
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 14:11:52
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 14:11:56
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 14:13:48
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 14:13:50
